City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,kropotkin,45.4375,40.5756,2.96,62,3,5.6,RU,1674578934
193,birao,10.2849,22.7882,27.64,11,94,2.48,CF,1674579129
194,norman wells,65.282,-126.8329,-22.98,77,100,2.06,CA,1674578852
195,kavaratti,10.5669,72.642,26.49,77,100,4.72,IN,1674578456
196,gamba,-2.65,10.0,27.32,73,50,2.92,GA,1674579130
197,balaipungut,1.05,101.2833,22.12,99,100,1.26,ID,1674579131
198,yar-sale,66.8333,70.8333,-16.33,99,100,2.92,RU,1674578839
199,vanimo,-2.6741,141.3028,24.48,91,100,1.01,PG,1674578861
200,uray,60.1247,64.7758,-10.03,93,39,3.52,RU,1674579132
201,cape town,-33.9258,18.4232,21.88,52,75,7.72,ZA,1674578689
202,sovetskiy,61.3614,63.5842,-12.38,92,58,2.15,RU,1674579133
203,bethel,41.3712,-73.414,6.41,63,0,8.75,US,1674578998
204,chestermere,51.0334,-113.8187,2.37,55,75,6.69,CA,1674579134
205,ekhabi,53.5102,142.9671,-21.84,95,100,8.85,RU,1674579134
206,victoria,22.2855,114.1577,12.03,45,34,4.92,HK,1674578848
207,caravelas,-17.7125,-39.2481,30.11,62,100,5.24,BR,1674578883
208,ponta do sol,32.6667,-17.1,18.73,60,43,2.87,PT,1674578819
209,yumen,40.2833,97.2,-12.41,37,51,9.21,CN,1674578827
210,harlingen,26.1906,-97.6961,26.14,83,20,14.4,US,1674578886
211,matina,10.0761,-83.2895,27.93,61,4,2.41,CR,1674579136
212,springbok,-29.6643,17.8865,19.23,49,0,7.97,ZA,1674579136
213,namibe,-15.1961,12.1522,24.88,77,81,3.73,AO,1674579025
214,kungurtug,50.5994,97.5228,-24.7,99,99,0.71,RU,1674579137
215,san luis,-33.295,-66.3356,31.86,37,23,3.24,AR,1674579133
216,mae sai,20.4335,99.8762,16.1,66,5,0.88,TH,1674579138
217,liberty,31.8335,-81.5004,14.04,66,0,2.68,US,1674579139
218,mitsamiouli,-11.3847,43.2844,27.41,79,100,4.96,KM,1674578784
219,fukue,32.6881,128.8419,0.81,75,100,14.75,JP,1674579041
220,oytal,42.9057,73.2697,-10.66,79,98,1.75,KZ,1674579140
221,torbay,47.6666,-52.7314,5.77,94,100,8.23,CA,1674579140
222,oistins,13.0667,-59.5333,29.05,54,20,11.32,BB,1674579081
223,mar del plata,-38.0023,-57.5575,33.01,27,0,7.72,AR,1674578826
224,port macquarie,-31.4333,152.9167,18.83,93,88,3.61,AU,1674579141
225,iralaya,15.0,-83.2333,26.3,82,95,6.42,HN,1674579142
226,rakiv lis,51.6217,24.9243,0.74,90,67,2.95,UA,1674579142
227,kiomboi,-4.2667,34.3667,17.81,79,93,2.34,TZ,1674579143
228,san cristobal,7.7669,-72.225,22.1,46,86,3.44,VE,1674579143
229,vestmannaeyjar,63.4427,-20.2734,6.55,87,75,12.35,IS,1674579040
230,cidreira,-30.1811,-50.2056,27.17,68,2,5.6,BR,1674579144
231,pasni,25.2631,63.471,15.53,32,0,10.58,PK,1674579145
232,vao,-22.6667,167.4833,25.59,80,6,0.92,NC,1674579046
233,vila velha,-20.3297,-40.2925,30.97,81,40,3.6,BR,1674578864
234,lyngseidet,69.5763,20.2189,3.0,90,97,4.55,NO,1674579146
235,zhanakorgan,43.9098,67.2495,-4.36,78,100,3.94,KZ,1674579146
236,praxedis guerrero,31.3667,-106.0167,2.58,47,38,9.3,MX,1674579147
237,san jeronimo,-11.9472,-75.2829,15.21,52,97,1.3,PE,1674579147
238,shache,38.4167,77.2406,-12.49,92,89,1.81,CN,1674579148
239,sena madureira,-9.0656,-68.6569,27.22,83,96,2.19,BR,1674579149
240,laredo,27.5064,-99.5075,15.16,94,100,3.6,US,1674579149
241,tuatapere,-46.1333,167.6833,7.72,93,32,1.3,NZ,1674579150
242,astoria,46.1879,-123.8313,6.03,96,100,2.06,US,1674579150
243,san rafael,-34.6177,-68.3301,33.42,23,0,4.62,AR,1674579049
244,farafangana,-22.8167,47.8333,24.52,92,100,3.34,MG,1674579151
245,auburn,47.3073,-122.2284,5.67,90,100,4.63,US,1674578481
246,ancud,-41.8697,-73.8203,15.66,56,35,4.64,CL,1674578861
247,biltine,14.5333,20.9167,27.68,8,100,3.92,TD,1674579152
248,skjervoy,70.0311,20.9714,3.0,79,100,16.22,NO,1674579153
249,ribeira grande,38.5167,-28.7,17.22,77,40,10.29,PT,1674578761
250,batemans bay,-35.7167,150.1833,20.61,96,100,1.35,AU,1674579153
251,matao,-21.6033,-48.3658,25.86,73,100,2.3,BR,1674579154
252,salalah,17.0151,54.0924,24.05,60,75,4.63,OM,1674578753
253,coromandel,-18.4733,-47.2003,23.78,74,100,3.89,BR,1674579155
254,malartic,48.1335,-78.1328,-11.94,85,100,3.69,CA,1674579155
255,limon,10.0,-83.0333,30.03,69,0,1.54,CR,1674579156
256,upernavik,72.7868,-56.1549,-16.73,76,100,2.36,GL,1674578752
257,san patricio,28.017,-97.5169,22.71,88,100,9.26,US,1674578945
258,nandyal,15.4833,78.4833,21.34,69,36,3.94,IN,1674579157
259,anloga,5.7947,0.8973,28.68,73,11,6.53,GH,1674579157
260,luganville,-15.5333,167.1667,25.62,85,99,0.83,VU,1674579158
261,porto novo,6.4965,2.6036,30.9,67,3,4.51,BJ,1674579158
262,westport,41.1415,-73.3579,6.87,55,0,7.6,US,1674579112
263,souillac,-20.5167,57.5167,24.21,88,75,1.54,MU,1674578866
264,taitung,22.7583,121.1444,13.04,83,100,9.87,TW,1674579159
265,najran,17.4924,44.1277,22.36,34,2,2.02,SA,1674579057
266,boyuibe,-20.4167,-63.2833,34.2,36,95,4.06,BO,1674579160
267,senneterre,48.3835,-77.2328,-15.33,87,100,3.98,CA,1674579162
268,luderitz,-26.6481,15.1594,21.35,62,4,14.16,,1674578937
269,pauini,-7.7136,-66.9764,27.29,82,83,1.87,BR,1674579162
270,zhangye,38.9342,100.4517,-13.9,55,0,1.95,CN,1674579163
271,bengkulu,-3.8004,102.2655,23.21,95,100,3.38,ID,1674578790
272,idar,49.7167,7.3,1.08,87,100,0.89,DE,1674579163
273,baykit,61.67,96.37,-38.22,97,26,0.88,RU,1674578943
274,college,64.8569,-147.8028,-19.03,75,100,0.0,US,1674579164
275,mongo,12.1844,18.693,30.28,10,95,3.53,TD,1674579165
276,tiksi,71.6872,128.8694,-30.81,99,100,2.19,RU,1674578732
277,vokhma,58.9303,46.7586,-9.72,95,100,3.94,RU,1674579165
278,tezu,27.9167,96.1667,15.8,37,4,1.88,IN,1674579166
279,faya,18.3851,42.4509,14.06,72,13,1.8,SA,1674578960
280,calabozo,8.9242,-67.4293,33.2,33,73,4.48,VE,1674579166
281,noumea,-22.2763,166.4572,27.78,99,3,1.02,NC,1674579167
282,honiara,-9.4333,159.95,24.67,90,99,1.43,SB,1674579167
283,chokurdakh,70.6333,147.9167,-29.95,96,100,0.82,RU,1674579168
284,contamana,-7.3333,-75.0167,30.47,52,80,2.87,PE,1674579168
285,la ronge,55.1001,-105.2842,-13.86,78,100,1.54,CA,1674578774
286,coihaique,-45.5752,-72.0662,14.34,44,40,4.63,CL,1674579169
287,bac lieu,9.285,105.7244,25.47,73,100,10.03,VN,1674579169
288,cayenne,4.9333,-52.3333,28.02,65,100,5.14,GF,1674579170
289,nizwa,22.9333,57.5333,15.27,65,89,2.57,OM,1674579171
290,mahebourg,-20.4081,57.7,24.16,88,75,1.54,MU,1674578858
291,selenduma,50.9131,106.2406,-32.73,95,77,0.96,RU,1674579171
292,banjar,-8.19,114.9675,25.18,89,100,1.49,ID,1674579172
293,emba,48.8264,58.1442,-16.24,96,9,2.47,KZ,1674579172
294,ngunguru,-35.6167,174.5,19.5,67,88,6.79,NZ,1674578995
295,lompoc,34.6391,-120.4579,12.55,72,0,4.12,US,1674579173
296,savannah bight,16.45,-85.85,25.51,80,13,7.15,HN,1674579174
297,nantucket,41.2835,-70.0995,5.08,65,100,9.26,US,1674578863
298,aksu,41.1231,80.2644,-15.67,89,13,2.33,CN,1674579174
299,hualmay,-11.0964,-77.6139,24.34,70,90,4.34,PE,1674578763
300,ouadda,8.0777,22.4007,27.38,16,45,2.12,CF,1674579175
301,road town,18.4167,-64.6167,29.05,65,40,5.14,VG,1674578776
302,shimanovsk,52.0,127.7,-35.83,100,52,0.39,RU,1674579176
303,pacific grove,36.6177,-121.9166,9.68,70,0,3.58,US,1674578823
304,lakes entrance,-37.8811,147.981,16.51,82,87,1.85,AU,1674579176
305,jacmel,18.2342,-72.5347,28.01,47,7,2.93,HT,1674579177
306,port-gentil,-0.7193,8.7815,28.98,79,40,4.63,GA,1674579177
307,alice springs,-23.7,133.8833,31.23,40,43,1.34,AU,1674579178
308,pangody,65.85,74.4859,-15.34,95,100,7.61,RU,1674579179
309,kansanshi,-12.0951,26.4273,16.86,96,90,2.34,ZM,1674579179
310,trinidad,-14.8333,-64.9,28.99,74,75,4.12,BO,1674579180
311,nanortalik,60.1432,-45.2371,-0.98,78,100,2.42,GL,1674578994
312,tamale,9.4008,-0.8393,37.77,18,44,2.78,GH,1674579017
313,roald,62.5833,6.1333,12.08,71,75,7.72,NO,1674578829
314,sri aman,1.2376,111.4621,25.05,94,100,0.0,MY,1674579181
315,tilichiki,60.4667,166.1,-16.81,84,100,4.82,RU,1674579182
316,belaya gora,68.5333,146.4167,-31.74,97,100,1.35,RU,1674578811
317,pashiya,58.4324,58.2562,-13.81,97,100,1.99,RU,1674579183
318,liberia,6.5,-9.5,30.99,52,100,3.54,LR,1674578944
319,mae hong son,19.3003,97.9685,18.02,55,1,0.98,TH,1674579184
320,parauna,-16.9478,-50.4486,25.18,74,100,2.17,BR,1674579184
321,saint george,37.1041,-113.5841,5.14,59,0,0.45,US,1674578710
322,benjamin constant,-4.3831,-70.0311,29.07,74,75,1.54,BR,1674579185
323,xinzhi,36.4989,111.7047,-8.93,31,88,1.09,CN,1674579186
324,bud,39.447,-86.1758,4.94,79,100,2.83,US,1674579186
325,middelburg,-25.7751,29.4648,23.72,26,3,3.76,ZA,1674579187
326,byron bay,-28.65,153.6167,20.52,92,99,3.38,AU,1674579114
327,fort nelson,58.8053,-122.7002,-14.23,85,20,1.03,CA,1674578867
328,itambacuri,-18.0311,-41.685,29.94,67,93,1.69,BR,1674579188
329,bardiyah,31.7561,25.0865,15.97,66,0,4.38,LY,1674579189
330,gizo,-8.103,156.8419,26.61,80,99,3.64,SB,1674579189
331,acapulco,16.8634,-99.8901,26.9,61,0,2.06,MX,1674578967
332,broome,42.2506,-75.833,1.5,81,85,1.79,US,1674579190
333,turkmenabat,39.0733,63.5786,-5.01,86,98,1.03,TM,1674579191
334,west fargo,46.875,-96.9004,-6.1,88,100,8.23,US,1674579191
335,egvekinot,66.3167,-179.1667,-26.7,88,10,5.66,RU,1674579192
336,cabedelo,-6.9811,-34.8339,29.37,63,48,5.31,BR,1674579192
337,srednekolymsk,67.45,153.6833,-31.06,95,100,0.92,RU,1674579193
338,tarata,-17.6167,-66.0167,22.82,34,92,0.21,BO,1674579194
339,wanning,18.8003,110.3967,15.43,70,86,4.97,CN,1674579194
340,ginda,30.6945,78.4932,7.4,64,100,1.35,IN,1674579195
341,erdaojiang,41.7764,126.0319,-25.89,93,8,1.0,CN,1674579195
342,tshikapa,-6.4167,20.8,22.6,92,96,1.76,CD,1674579196
343,gambela,8.25,34.5833,31.9,20,77,0.31,ET,1674579196
344,ruteng,-8.6136,120.4721,16.9,90,96,0.67,ID,1674578827
345,hurghada,27.2574,33.8129,22.02,49,0,4.63,EG,1674579197
346,nichinan,31.6,131.3667,-1.7,64,12,6.6,JP,1674579198
347,zhigansk,66.7697,123.3711,-44.63,96,100,3.71,RU,1674578989
348,kaitangata,-46.2817,169.8464,8.67,95,37,1.35,NZ,1674578951
349,zemetchino,53.4973,42.6163,-8.67,91,10,2.45,RU,1674579199
350,bacolod,10.6667,122.95,24.14,85,14,7.56,PH,1674579129
